"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","1503","5","contour","0.5","0.2716713845729828","0.6667","0.8553"
"TS","0","1504","5","contour","0.5","0.284697949886322","0.5809","0.8483"
"TS","0","1505","5","contour","0.5","0.33676084876060486","0.4957","0.839"
"TS","0","1506","5","contour","0.5","0.2920568585395813","0.4604","0.8642"
"TS","0","1507","5","contour","0.5","0.27588966488838196","0.5938","0.8502"
"TS","0","1508","5","contour","0.5","0.2711634337902069","0.6559","0.8646"
"TS","0","1509","5","contour","0.5","0.3563545048236847","0.5166","0.8134"
"TS","0","1510","5","contour","0.5","0.31179481744766235","0.6084","0.8215"
"TS","0","1511","5","contour","0.5","0.29466813802719116","0.6141","0.8627"
"TS","0","1512","5","contour","0.5","0.34768837690353394","0.5284","0.806"
"TS","0","1513","5","contour","0.5","0.3416730761528015","0.4776","0.8392"
